date,XCO2_ppm
2014-10-01,398.171
2014-11-01,398.014
2014-12-01,396.56
2015-01-01,396.165
2015-02-01,398.304
2015-03-01,398.259
2015-04-01,399.089
2015-05-01,400.333
2015-06-01,400.418
2015-07-01,400.185
2015-08-01,399.222
2015-09-01,400.13
2015-10-01,400.442
2015-11-01,400.66
2015-12-01,400.745
2016-01-01,402.559
2016-02-01,402.222
2016-03-01,402.891
2016-04-01,402.427
2016-05-01,402.315
2016-06-01,403.311
2016-07-01,403.16
2016-08-01,402.997
2016-09-01,404.282
2016-10-01,404.769
2016-11-01,403.416
2016-12-01,403.073
2017-01-01,402.952
2017-02-01,404.024
2017-03-01,403.754
2017-04-01,403.816
2017-05-01,405.228
2017-06-01,405.573
2017-07-01,404.28
2017-08-01,407.343
2017-09-01,406.505
2017-10-01,405.839
2017-11-01,405.994
2017-12-01,405.226
2018-01-01,404.92
2018-02-01,406.402
2018-03-01,406.932
2018-04-01,406.091
2018-05-01,406.414
2018-06-01,407.252
2018-07-01,406.822
2018-08-01,406.752
2018-09-01,405.819
2018-10-01,407.307
2018-11-01,407.326
2018-12-01,407.028
2019-01-01,406.493
2019-02-01,407.671
2019-03-01,409.352
2019-04-01,409.998
2019-05-01,410.827
2019-06-01,410.689
2019-07-01,410.27
2019-08-01,410.051
2019-09-01,411.015
2019-10-01,410.957
2019-11-01,408.567
2019-12-01,410.087
2020-01-01,410.152
2020-02-01,412.541
2020-03-01,412.303
2020-04-01,412.112
2020-05-01,411.126
2020-06-01,412.255
2020-07-01,412.313
2020-08-01,411.256
2020-09-01,412.151
2020-10-01,413.219
2020-11-01,412.306
2020-12-01,411.769
2021-01-01,412.108
2021-02-01,412.271
2021-03-01,412.965
2021-04-01,413.026
2021-05-01,413.108
2021-06-01,414.512
2021-07-01,414.08
2021-08-01,413.378
2021-09-01,414.777
2021-10-01,416.375
2021-11-01,415.8
2021-12-01,414.456
2022-01-01,414.55
2022-02-01,414.759
2022-03-01,415.666
2022-04-01,415.973
2022-05-01,415.803
2022-06-01,416.408
2022-07-01,416.53
2022-08-01,416.095
2022-09-01,416.188
2022-10-01,418.435
2022-11-01,416.117
2022-12-01,416.104
2023-01-01,414.824
2023-02-01,416.502
2023-03-01,417.805
2023-04-01,418.28
2023-05-01,419.186
2023-06-01,419.448
2023-07-01,419.117
2023-08-01,419.391
2023-09-01,420.026
2023-10-01,420.774
2023-11-01,420.952
2023-12-01,420.165
2024-01-01,420.886
2024-02-01,421.857
2024-03-01,421.106
2024-04-01,421.893
2024-05-01,422.092
2024-06-01,422.216
2024-07-01,422.171
2024-08-01,422.349
2024-09-01,423.694
2024-10-01,425.547
2024-11-01,424.626
2024-12-01,423.49
