year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2014,393.9033532720297,,
2015,396.0483997440021,2.145046471972421,
2016,398.9343664881188,2.885966744116729,
2017,401.0244862308634,2.090119742744548,0.051457743372138716
2018,403.3979867533277,2.373500522464326,0.05098126487969998
2019,405.7757881613909,2.377801408063192,0.050885327413347795
2020,408.2393009697849,2.4635128083940003,0.05086807301513834
2021,410.4773005514759,2.2379995816909855,0.05087529224636765
2022,412.75102403865236,2.2737234871764826,0.05093009064529256
2023,414.81316678682407,2.062142748171709,0.05120658004384248
2024,417.87681206944336,3.063645282619291,0.05258512959972998
