year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2014,398.2877892852256,,
2015,400.54994424792227,2.262154962696684,
2016,403.64696956770115,3.0970253197788793,
2017,406.2406290787373,2.593659511036151,0.10817566254566792
2018,408.3571673753387,2.116538296601391,0.10812726717452334
2019,410.9326991625521,2.5755317872134356,0.10812512467634695
2020,413.53289918592156,2.600200023369439,0.10812492330724514
2021,416.16181371093353,2.6289145250119645,0.10812500474187409
2022,418.2796380288688,2.1178243179352876,0.10812553488303643
2023,420.61886788762325,2.339229858754436,0.1081365992916433
2024,423.56984431383967,2.950976426216414,0.1088931902326116
