year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2014,397.14102327303675,,
2015,399.5721044797571,2.431081206720364,
2016,402.73987077946117,3.1677662997040557,
2017,405.377458112691,2.637587333229817,0.1410087963655365
2018,407.21861112275053,1.8411530100595428,0.14097925343552217
2019,409.8651325999735,2.6465214772229615,0.14097277060742236
2020,412.5847005918094,2.719567991835902,0.14097199665122903
2021,415.15708360816035,2.5723830163509547,0.14097228223838923
2022,417.44063217939305,2.2835485712327,0.14097525374951944
2023,419.07933672344814,1.6387045440550878,0.14099362511091684
2024,422.46894820658406,3.3896114831359228,0.14196898365627808
