year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2014,398.00954661315376,,
2015,400.45294549338047,2.4433988802267095,
2016,402.94333218557983,2.4903866921993654,
2017,405.38669909114765,2.4433669055678138,0.09246049489442179
2018,407.83001676321885,2.4433176720712027,0.07889808282761542
2019,410.27330405994536,2.44328729672651,0.06985928666212411
2020,412.7165604968574,2.4432564369120655,0.067137780734908
2021,415.2067551695754,2.490194672717962,0.07154950171492859
2022,417.64991665155725,2.4431614819818606,0.08193707938129653
2023,420.093056705217,2.4431400536597607,0.09635523215444118
2024,422.5362002230846,2.443143517867611,0.1133575792075512
