year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2014,398.29062484308463,,
2015,400.513061890511,2.2224370474263537,
2016,403.7125881072376,3.1995262167266105,0.19425775509660506
2017,406.249735680801,2.537147573563402,0.1898514188758978
2018,408.3745539042623,2.124818223461318,0.18981293387275625
2019,411.0871888219672,2.712634917704861,0.1898055508612791
2020,413.041955389419,1.954766567451827,0.18980486135810484
2021,415.9650016217139,2.923046232294894,0.1898061114601535
2022,417.8821931237901,1.9171915020762071,0.18981818746655063
2023,420.32885171343884,2.4466585896487345,0.18993008195275027
2024,423.709814455617,3.3809627421781556,0.21555011314863048
