year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2014,397.1053861899331,,
2015,399.64118357043384,2.535797380500753,
2016,402.8847624438253,3.2435788733914706,0.1528244933441771
2017,405.2172357175387,2.33247327371339,0.14689505517967866
2018,407.51015513912665,2.2929194215879534,0.14687908231582586
2019,410.04487711382376,2.5347219746971064,0.14687581743829556
2020,412.3376519990374,2.292774885213646,0.14687558423089128
2021,414.9108166718719,2.57316467283448,0.1468760132096079
2022,416.9361426069186,2.0253259350467374,0.146881723987832
2023,419.0897977736014,2.1536551666827677,0.14697556494609523
2024,422.7291765726053,3.6393787990039073,0.16778691779458432
